"SDATE","ALL_INF"
2010-01-01,55
2010-02-01,47
2010-03-01,71
2010-04-01,82
2010-05-01,69
2010-06-01,12
2010-07-01,6
2010-08-01,2
2010-09-01,3
2010-10-01,7
2010-11-01,86
2010-12-01,1012
2011-01-01,5049
2011-02-01,2585
2011-03-01,938
2011-04-01,194
2011-05-01,21
2011-06-01,2
2011-07-01,6
2011-08-01,5
2011-09-01,2
2011-10-01,20
2011-11-01,53
2011-12-01,268
2012-01-01,1274
2012-02-01,4997
2012-03-01,3821
2012-04-01,852
2012-05-01,113
2012-06-01,11
2012-07-01,12
2012-08-01,6
2012-09-01,18
2012-10-01,94
2012-11-01,278
2012-12-01,4089
2013-01-01,7531
2013-02-01,7851
2013-03-01,4174
2013-04-01,1874
2013-05-01,138
2013-06-01,17
2013-07-01,20
2013-08-01,6
2013-09-01,18
2013-10-01,44
2013-11-01,81
2013-12-01,482
2014-01-01,1014
2014-02-01,3280
2014-03-01,2913
2014-04-01,1229
2014-05-01,511
2014-06-01,81
2014-07-01,25
2014-08-01,20
2014-09-01,37
2014-10-01,44
2014-11-01,140
2014-12-01,1003
2015-01-01,4211
2015-02-01,12967
2015-03-01,12247
2015-04-01,3357
2015-05-01,897
2015-06-01,263
2015-07-01,37
2015-08-01,29
2015-09-01,22
2015-10-01,62
2015-11-01,569
2015-12-01,1776
2016-01-01,4548
2016-02-01,13129
2016-03-01,6358
2016-04-01,2118
2016-05-01,801
2016-06-01,82
2016-07-01,38
2016-08-01,66
2016-09-01,54
2016-10-01,213
2016-11-01,1516
2016-12-01,9587
2017-01-01,11727
2017-02-01,8090
2017-03-01,3582
2017-04-01,1654
2017-05-01,1643
2017-06-01,266
2017-07-01,102
2017-08-01,67
2017-09-01,61
2017-10-01,216
2017-11-01,724
2017-12-01,4371
2018-01-01,18641
2018-02-01,26338
2018-03-01,16832
2018-04-01,5185
2018-05-01,248
2018-06-01,45
2018-07-01,53
2018-08-01,35
2018-09-01,39
2018-10-01,216
2018-11-01,561
2018-12-01,5286
